MSOA21CD,MSOA21NM,retail_units_2019,total_rateable_value_2019,median_rateable_value_2019,total_floor_area_2019,median_floor_area_2019,vacancy_proxy_2019,retail_units,total_rateable_value,median_rateable_value,total_floor_area,median_floor_area,vacancy_proxy,retail_units_pct_change_2019,total_rateable_value_pct_change_2019,median_rateable_value_pct_change_2019,total_floor_area_pct_change_2019,median_floor_area_pct_change_2019,vacancy_proxy_change_2019
E02000023,Barking and Dagenham 022,34,234630.0,5600.0,2933.35,67.81,0.0294117647058823,37.0,276323.3333333333,6066.666666666667,3026.236666666666,67.63333333333333,0.08989252410305038,0.08823529411764706,0.17769821989231271,0.08333333333333333,0.031665729171993326,-0.002605318782873791,0.060480759397168064
E02000024,Barnet 001,273,8166400.0,19500.0,41301.23,87.035,0.0989010989010989,277.0,8019141.666666667,19416.666666666668,42907.9,84.28,0.6096500059168358,0.01465201465201465,-0.01803222146029258,-0.004273504273504273,0.038901262746896356,-0.03165393232607566,0.5107489070157368
E02000025,Barnet 002,58,523800.0,6300.0,3958.79,52.13,0.0689655172413793,58.0,497733.3333333333,6866.666666666667,3558.39,51.718333333333334,0.6143512394858176,0.0,-0.04976454117347589,0.08994708994708994,-0.10114201561588258,-0.007896924355777267,0.5453857222444383
E02000026,Barnet 003,12,233850.0,7300.0,615.63,59.1,0.1666666666666666,10.666666666666666,177883.33333333334,7500.0,615.63,59.1,0.7222222222222222,-0.1111111111111111,-0.23932720404817906,0.0273972602739726,0.0,0.0,0.5555555555555556
E02000027,Barnet 004,21,114700.0,6200.0,1389.0,65.31,0.1904761904761904,18.666666666666668,127133.33333333333,6716.666666666667,1096.9133333333332,62.70000000000001,0.7228163992869875,-0.1111111111111111,0.10839872130194711,0.08333333333333333,-0.21028557715382767,-0.03996325218190169,0.532340208810797
E02000028,Barnet 005,50,742000.0,11625.0,4119.71,71.525,0.04,51.666666666666664,845150.0,13583.333333333334,4240.403333333334,71.50333333333333,0.5824534942182001,0.03333333333333333,0.13901617250673856,0.16845878136200718,0.029296560518418436,-0.0003029243854130814,0.5424534942182001
E02000029,Barnet 006,175,3582860.0,11250.0,21860.89,59.69,0.0628571428571428,175.66666666666666,4061053.3333333335,11750.0,24513.216666666664,60.35166666666667,0.5999789262947157,0.003809523809523809,0.13346693237618365,0.044444444444444446,0.12132747873790446,0.011085050538895401,0.5371217834375729
E02000030,Barnet 007,15,776150.0,18250.0,2751.1800000000003,98.0,0.0,14.0,673516.6666666666,18583.333333333332,2645.52,86.96999999999998,0.7142857142857143,-0.06666666666666667,-0.13223388949730508,0.0182648401826484,-0.03840533880007862,-0.11255102040816328,0.7142857142857143
E02000031,Barnet 008,136,4964400.0,20750.0,20220.31,63.14,0.0808823529411764,131.0,4755183.333333333,20791.666666666668,19486.203333333335,62.41,0.6174519851685206,-0.03676470588235294,-0.04214339430075471,0.0020080321285140556,-0.036305411077608055,-0.011561609122584757,0.5365696322273442
E02000032,Barnet 009,41,466900.0,9500.0,3195.93,61.510000000000005,0.024390243902439,42.0,559700.0,11550.0,3261.0500000000006,61.52,0.5158730158730158,0.02439024390243903,0.1987577639751553,0.21578947368421053,0.020375915617676342,0.0001625751910258171,0.49148277197057677
