origin_msoa,origin_msoa_name,origin_lad_name_guess,commuters_to_selected_workplaces,od_weighted_msoa_exposure_sum,linked_workplace_msoas,linked_workplace_lads,msoa_exposure_per_1000
E02000154,Bromley 028,Bromley,194,226.80812810466875,20,8,0.22680812810466874
E02000216,Croydon 023,Croydon,196,226.64951554488061,23,8,0.2266495155448806
E02000030,Barnet 007,Barnet,197,226.63641764932117,21,8,0.2266364176493212
E02000348,Hackney 004,Hackney,197,226.62619063573422,23,8,0.22662619063573422
E02000300,Enfield 024,Enfield,195,226.1332969895537,24,8,0.2261332969895537
E02000295,Enfield 019,Enfield,199,226.092080121127,23,8,0.226092080121127
E02000456,Harrow 024,Harrow,197,225.84029021333149,23,8,0.2258402902133315
E02000096,Brent 004,Brent,197,225.7324708293679,23,8,0.22573247082936793
E02000086,Bexley 022,Bexley,191,225.58992308637963,21,8,0.22558992308637962
E02000945,Wandsworth 023,Wandsworth,218,224.8788369155188,23,8,0.2248788369155188
E02000459,Harrow 027,Harrow,208,224.51943489610292,24,8,0.22451943489610293
E02000240,Ealing 003,Ealing,198,224.3396207343134,23,8,0.2243396207343134
E02000465,Havering 002,Havering,187,224.11036803798658,20,7,0.22411036803798656
E02000203,Croydon 010,Croydon,203,223.7928399512038,23,8,0.2237928399512038
E02006921,Hackney 029,Hackney,194,222.88493605302799,23,8,0.22288493605302798
E02000011,Barking and Dagenham 010,Barking and Dagenham,196,222.70730048783594,25,8,0.22270730048783594
E02000288,Enfield 012,Enfield,207,222.29122601281927,22,8,0.22229122601281925
E02000113,Brent 021,Brent,208,221.57779920088518,23,8,0.2215777992008852
E02000481,Havering 018,Havering,179,221.40964147694123,20,8,0.22140964147694123
E02000306,Enfield 030,Enfield,198,221.28036990668284,21,7,0.22128036990668284
E02000604,Kingston upon Thames 007,Kingston upon Thames,195,221.2699317622997,22,8,0.2212699317622997
E02000698,Merton 010,Merton,192,221.23976929169297,21,8,0.22123976929169298
E02000149,Bromley 023,Bromley,187,221.1072929280944,20,7,0.22110729292809442
E02000102,Brent 010,Brent,209,220.92103382194878,25,8,0.22092103382194878
E02000791,Richmond upon Thames 008,Richmond upon Thames,187,220.35329487099702,23,8,0.22035329487099703
E02000210,Croydon 017,Croydon,195,219.88592818756737,23,8,0.2198859281875674
E02000710,Merton 022,Merton,199,219.87663333625463,24,8,0.21987663333625462
E02000244,Ealing 007,Ealing,197,219.61908410674724,21,8,0.21961908410674724
E02000783,Redbridge 033,Redbridge,199,219.2263087049467,22,8,0.2192263087049467
E02000039,Barnet 016,Barnet,191,218.5030808378802,21,8,0.2185030808378802
E02000857,Sutton 018,Sutton,193,218.47475572261405,20,8,0.21847475572261404
E02000539,Hounslow 014,Hounslow,198,218.3797433914076,23,8,0.2183797433914076
E02000443,Harrow 011,Harrow,196,217.990318955654,23,8,0.21799031895565402
E02000074,Bexley 010,Bexley,190,217.90089000666597,22,8,0.217900890006666
E02006796,Hillingdon 033,Hillingdon,195,217.83181445168367,22,8,0.21783181445168368
E02000467,Havering 004,Havering,181,217.59736494646236,20,8,0.21759736494646237
E02000145,Bromley 019,Bromley,185,217.4558673537053,20,8,0.21745586735370528
E02000445,Harrow 013,Harrow,202,216.9452457966428,25,8,0.21694524579664282
E02000487,Havering 024,Havering,167,216.27991414205908,17,7,0.21627991414205908
E02000153,Bromley 027,Bromley,183,216.24857466445644,19,8,0.21624857466445643
E02000100,Brent 008,Brent,196,215.51242626412935,22,8,0.21551242626412934
E02000147,Bromley 021,Bromley,180,215.083285854823,23,8,0.215083285854823
E02000224,Croydon 031,Croydon,190,214.85587157638142,23,8,0.21485587157638142
E02000449,Harrow 017,Harrow,193,213.98942000435906,20,8,0.21398942000435905
E02000461,Harrow 029,Harrow,190,213.03540519881818,22,8,0.2130354051988182
E02000418,Haringey 022,Haringey,185,212.84844834559686,22,8,0.21284844834559685
E02000157,Bromley 031,Bromley,177,212.68197307332684,21,8,0.21268197307332684
E02000027,Barnet 004,Barnet,188,211.46520516177569,23,8,0.2114652051617757
E02000845,Sutton 006,Sutton,183,210.32161522480993,20,8,0.21032161522480994
E02000029,Barnet 006,Barnet,190,210.27185700801098,23,8,0.210271857008011
E02000286,Enfield 010,Enfield,175,210.09290423558818,20,8,0.21009290423558818
E02000482,Havering 019,Havering,167,210.00230843062792,20,8,0.21000230843062792
E02000284,Enfield 008,Enfield,184,209.9965342671999,22,8,0.2099965342671999
E02000502,Hillingdon 009,Hillingdon,185,209.88444463918324,20,8,0.20988444463918324
E02006988,Croydon 047,Croydon,183,209.59133579413432,24,8,0.20959133579413433
E02000768,Redbridge 018,Redbridge,170,209.3945606818385,20,8,0.2093945606818385
E02000243,Ealing 006,Ealing,194,209.2916993435237,23,8,0.2092916993435237
E02000493,Havering 030,Havering,175,208.93293372860794,20,8,0.20893293372860794
E02000453,Harrow 021,Harrow,180,208.6638269511467,18,8,0.20866382695114669
E02000440,Harrow 008,Harrow,178,208.0137826346829,24,8,0.2080137826346829
E02000935,Wandsworth 013,Wandsworth,189,207.62559587256158,24,8,0.20762559587256157
E02000221,Croydon 028,Croydon,178,207.29945226404166,20,8,0.20729945226404167
E02000339,Greenwich 027,Greenwich,175,207.1907111360208,18,8,0.2071907111360208
E02000345,Hackney 001,Hackney,180,206.9513024709591,22,8,0.20695130247095908
E02000071,Bexley 007,Bexley,171,206.06072130504577,20,8,0.20606072130504577
E02000004,Barking and Dagenham 003,Barking and Dagenham,169,205.9417570837086,20,8,0.2059417570837086
