clean_name,2019_Midweek,2019_Friday,2023_Monday,2023_Midweek,2023_Friday,2024_Monday,2024_Midweek,2024_Friday,2025_Monday,2025_Midweek,2025_Friday,raw_ratio_19_mon,raw_ratio_19_fri,raw_ratio_23_mon,raw_ratio_23_fri,collapse_23_mon,collapse_23_fri,total_collapse_23,raw_ratio_24_mon,raw_ratio_24_fri,collapse_24_mon,collapse_24_fri,total_collapse_24,raw_ratio_25_mon,raw_ratio_25_fri,collapse_25_mon,collapse_25_fri,total_collapse_25,cumulative_collapse_score,shock_rank,top100_affected,geometry
Theydon Bois,2944,2992,2179.0,2552.0,2329.0,2156.0,2545.0,2205.0,2086.0,2569.0,2157.0,1.0,1.016304347826087,0.8538401253918495,0.9126175548589341,0.1461598746081505,0.10202336848104876,0.24818324308919926,0.8471512770137525,0.8664047151277013,0.15284872298624752,0.14749482575670025,0.3003435487429478,0.8119891008174387,0.8396263137407551,0.1880108991825613,0.173843627121396,0.3618545263039573,0.9103813181361043,39,True,POINT Z (0.103354074905424 51.6718358056893 0)
Goodge Street,30496,28413,16886.0,19853.0,16595.0,16705.0,20684.0,17092.0,16827.0,20121.0,15522.0,1.0,0.9316959601259182,0.8505515539213218,0.8358938195738679,0.14944844607867824,0.10282554036093783,0.25227398643961607,0.8076290852833108,0.8263391993811642,0.1923709147166892,0.11308062420976372,0.30545153892645294,0.8362904428209333,0.7714328313702102,0.16370955717906666,0.17201226109647239,0.33572181827553904,0.893447343641608,40,True,POINT Z (-0.134317418003295 51.5206035646107 0)
Victoria,272658,286045,170434.0,202988.0,187908.0,169450.0,204933.0,186542.0,174142.0,204532.0,182555.0,1.0,1.0490981375936155,0.8396259877431178,0.9257098941809369,0.1603740122568822,0.1176136330731673,0.2779876453300495,0.8268556064665037,0.9102584747210064,0.1731443935334963,0.1323419210247333,0.3054863145582296,0.8514168932000861,0.8925498210548961,0.14858310679991393,0.14922180387985862,0.29780491067977255,0.8812788705680517,41,True,POINT Z (-0.14306445018881 51.4964021600764 0)
Pimlico,35634,35958,21139.0,25488.0,22803.0,22402.0,26819.0,22647.0,22707.0,27389.0,24971.0,1.0,1.009092439804681,0.8293706842435656,0.8946563088512242,0.17062931575643436,0.1134050027920207,0.28403431854845507,0.8353033297289235,0.8444386442447519,0.16469667027107648,0.16317018051567145,0.32786685078674793,0.8290554602212568,0.9117163824893205,0.17094453977874324,0.09649864915667039,0.26744318893541363,0.8793443582706166,42,True,POINT Z (-0.133683792044099 51.489083026302 0)
Chiswick Park,8655,8272,6488.0,7782.0,6488.0,6642.0,7827.0,6623.0,6325.0,7662.0,6265.0,1.0,0.9557481224725592,0.8337188383448985,0.8337188383448985,0.16628116165510154,0.1276793343961441,0.29396049605124563,0.8486009965504024,0.8461735019803245,0.15139900344959756,0.11464801019829451,0.26604701364789207,0.825502479770295,0.8176716262072566,0.174497520229705,0.14446954487139674,0.31896706510110173,0.8789745748002394,43,True,POINT Z (-0.26854880833146 51.4946682889916 0)
East Finchley,23225,22772,15974.0,18929.0,16341.0,16230.0,19326.0,16546.0,16299.0,19390.0,16161.0,1.0,0.9804951560818084,0.8438903270114639,0.863278567277722,0.15610967298853606,0.1195483609245962,0.27565803391313226,0.8398013039428749,0.856152333643796,0.1601986960571251,0.1268163556614631,0.2870150517185882,0.840587931923672,0.8334708612686952,0.15941206807632802,0.14994902718402225,0.30936109526035027,0.8720341808920707,44,True,POINT Z (-0.165018716089878 51.5871566525116 0)
Clapham South,26492,26812,18301.0,22550.0,20249.0,18938.0,22392.0,20416.0,17914.0,21745.0,19189.0,1.0,1.0120791182243696,0.8115742793791574,0.897960088691796,0.18842572062084262,0.11275702410774802,0.30118274472859063,0.8457484816005716,0.9117541979278314,0.1542515183994284,0.09912754693778492,0.2533790653372133,0.8238215681765924,0.8824557369510232,0.17617843182340764,0.1280763321159739,0.30425476393938156,0.8588165740051855,45,True,POINT Z (-0.147186832640558 51.4532375285868 0)
King's Cross St Pancras,275889,305233,196524.0,235401.0,243875.0,201826.0,241972.0,238517.0,199415.0,243219.0,223985.0,1.0,1.1063616164471943,0.8348477704002957,1.0359981478413431,0.16515222959970433,0.06359897845318063,0.22875120805288496,0.8340882416147323,0.9857214884366786,0.16591175838526773,0.10904222111204609,0.2749539794973138,0.8198989388164576,0.9209190071499348,0.1801010611835424,0.16761482551497264,0.34771588669851505,0.8514210742487138,46,True,POINT Z (-0.124750344185488 51.529787127414 0)
Tooting Bec,24987,25616,17890.0,21723.0,20129.0,18558.0,21710.0,20016.0,18179.0,22228.0,19564.0,1.0,1.0251730900068035,0.823551074897574,0.9266215531924689,0.17644892510242605,0.09613160721345171,0.27258053231587775,0.8548134500230309,0.9219714417319208,0.14518654997696911,0.1006675353468337,0.24585408532380282,0.8178423609861436,0.8801511606982184,0.1821576390138564,0.1414609208164278,0.3236185598302842,0.8420531774699648,47,True,POINT Z (-0.15920812954631 51.4358993700234 0)
Shepherd's Bush,61396,65661,34467.0,41136.0,39702.0,35060.0,42162.0,39729.0,34450.0,41409.0,39052.0,1.0,1.0694670662583883,0.8378792298716453,0.9651400233372228,0.16212077012835469,0.09755049614212197,0.25967126627047665,0.8315544803377449,0.9422940088231109,0.16844551966225507,0.11891255135158296,0.28735807101383803,0.8319447463111884,0.943080006761815,0.16805525368881158,0.11817760778622943,0.286232861475041,0.8332621987593557,48,True,POINT Z (-0.218811085425774 51.5043540320894 0)
Croxley,4036,3767,2871.0,3353.0,2741.0,2846.0,3433.0,2732.0,2956.0,3424.0,2880.0,1.0,0.9333498513379583,0.8562481359976141,0.8174768863704146,0.14375186400238593,0.12414740817865844,0.26789927218104437,0.8290125254879115,0.7958054180017478,0.1709874745120885,0.14736642764665409,0.3183539021587426,0.8633177570093458,0.8411214953271028,0.13668224299065423,0.09881434692323143,0.23549658991388567,0.8217497642536726,49,True,POINT Z (-0.441746350839895 51.647081796 0)
Loughton,11626,11731,8446.0,9926.0,9037.0,8098.0,9666.0,8556.0,8207.0,9742.0,8549.0,1.0,1.0090314811629106,0.850896635099738,0.9104372355430184,0.149103364900262,0.09771176366693957,0.24681512856720156,0.8377819159942065,0.8851644941030415,0.16221808400579352,0.1227582978056464,0.2849763818114399,0.8424348183124615,0.8775405460890987,0.15756518168753852,0.13031400657813808,0.2878791882656766,0.8196706986443181,50,True,POINT Z (0.055364592448419 51.6413140398805 0)
Sloane Square,56555,55656,38307.0,47265.0,44962.0,39163.0,47253.0,44469.0,39017.0,51494.0,43852.0,1.0,0.9841039695871275,0.8104728657569026,0.9512747275997038,0.18952713424309742,0.03335952602771941,0.22288666027081683,0.8287939390091634,0.9410831058345502,0.17120606099083657,0.04371577097755874,0.21492183196839532,0.7576999262049947,0.8515943605080204,0.2423000737950053,0.13465000972885055,0.37695008352385584,0.814758575763068,51,True,POINT Z (-0.156310789558297 51.4923380170884 0)
Upminster,16484,15691,14913.0,18151.0,14767.0,13942.0,16230.0,14106.0,15262.0,17787.0,15071.0,1.0,0.9518927444794952,0.8216076249242465,0.8135639909646851,0.17839237507575345,0.14531968471978396,0.3237120597955374,0.859026494146642,0.8691312384473198,0.140973505853358,0.08694415049610482,0.22791765634946282,0.8580423905099229,0.8473042109405746,0.14195760949007707,0.1098742837840525,0.2518318932741296,0.8034616094191298,52,True,POINT Z (0.251143119887474 51.5590893129807 0)
