MSOA21CD,MSOA21NM,year,retail_units,total_rateable_value,total_floor_area,retail_vacancy_proxy,occupation_classification_completeness,occupation_classified_records,station_count,top100_station_count,mean_station_shock,weighted_shock_numerator,baseline_station_volume,study_submarket,workplace_msoa_station_shock,high_affected_group,comparison_label
E02000871,Tower Hamlets 008,2024,39.0,633575.0,3623.61,0.07142857142857142,1.0,28.0,1,0,0.4274262528297138,6054.065445080067,14164,Canary Wharf,0.4274262528297138,0,Less-affected comparison
E02000871,Tower Hamlets 008,2025,39.0,664325.0,3715.0400000000004,0.10714285714285714,1.0,28.0,1,0,0.4274262528297138,6054.065445080067,14164,Canary Wharf,0.4274262528297138,0,Less-affected comparison
E02000874,Tower Hamlets 011,2019,64.0,3437580.0,14890.23,0.15,1.0,40.0,2,1,0.48453453357825266,37238.779216458905,65664,Tech Belt & Midtown,0.5671110382623493,1,Top-100 affected
E02000874,Tower Hamlets 011,2023,89.0,3535130.0,35970.25,0.16901408450704225,1.0,71.0,2,1,0.48453453357825266,37238.779216458905,65664,Tech Belt & Midtown,0.5671110382623493,1,Top-100 affected
E02000874,Tower Hamlets 011,2024,78.0,3300725.0,16186.459999999997,0.30303030303030304,1.0,66.0,2,1,0.48453453357825266,37238.779216458905,65664,Tech Belt & Midtown,0.5671110382623493,1,Top-100 affected
E02000874,Tower Hamlets 011,2025,80.0,3364975.0,16555.359999999997,0.2463768115942029,1.0,69.0,2,1,0.48453453357825266,37238.779216458905,65664,Tech Belt & Midtown,0.5671110382623493,1,Top-100 affected
E02000876,Tower Hamlets 013,2019,249.0,7503100.0,34628.7,0.14583333333333334,1.0,144.0,1,0,0.14419309437444183,6469.223179109333,44865,Tech Belt & Midtown,0.14419309437444183,0,Less-affected comparison
E02000876,Tower Hamlets 013,2023,290.0,7302980.0,39811.25,0.26153846153846155,1.0,195.0,1,0,0.14419309437444183,6469.223179109333,44865,Tech Belt & Midtown,0.14419309437444183,0,Less-affected comparison
E02000876,Tower Hamlets 013,2024,247.0,7239060.0,31823.360000000004,0.1511627906976744,1.0,172.0,1,0,0.14419309437444183,6469.223179109333,44865,Tech Belt & Midtown,0.14419309437444183,0,Less-affected comparison
E02000876,Tower Hamlets 013,2025,248.0,7098860.0,32086.57,0.17613636363636365,1.0,176.0,1,0,0.14419309437444183,6469.223179109333,44865,Tech Belt & Midtown,0.14419309437444183,0,Less-affected comparison
E02000877,Tower Hamlets 014,2019,121.0,1844700.0,9864.190000000002,0.10666666666666667,1.0,75.0,1,0,0.413520662238655,20088.833771553862,48580,Tech Belt & Midtown,0.413520662238655,0,Less-affected comparison
E02000877,Tower Hamlets 014,2023,129.0,1702200.0,10301.21,0.24731182795698925,1.0,93.0,1,0,0.413520662238655,20088.833771553862,48580,Tech Belt & Midtown,0.413520662238655,0,Less-affected comparison
E02000877,Tower Hamlets 014,2024,118.0,1888700.0,9178.410000000003,0.16091954022988506,1.0,87.0,1,0,0.413520662238655,20088.833771553862,48580,Tech Belt & Midtown,0.413520662238655,0,Less-affected comparison
E02000877,Tower Hamlets 014,2025,120.0,1912700.0,9425.5,0.14130434782608695,1.0,92.0,1,0,0.413520662238655,20088.833771553862,48580,Tech Belt & Midtown,0.413520662238655,0,Less-affected comparison
E02000884,Tower Hamlets 021,2019,471.0,12103740.0,66113.68,0.15774647887323945,1.0,355.0,1,1,0.8029169843683173,36487.75943763381,45444,Tech Belt & Midtown,0.8029169843683173,1,Top-100 affected
E02000884,Tower Hamlets 021,2023,562.0,11941190.0,74960.22,0.2701525054466231,1.0,459.0,1,1,0.8029169843683173,36487.75943763381,45444,Tech Belt & Midtown,0.8029169843683173,1,Top-100 affected
E02000884,Tower Hamlets 021,2024,445.0,11337675.0,55415.219999999994,0.096,1.0,375.0,1,1,0.8029169843683173,36487.75943763381,45444,Tech Belt & Midtown,0.8029169843683173,1,Top-100 affected
E02000884,Tower Hamlets 021,2025,457.0,11547615.0,57143.99,0.09090909090909091,1.0,385.0,1,1,0.8029169843683173,36487.75943763381,45444,Tech Belt & Midtown,0.8029169843683173,1,Top-100 affected
E02000890,Tower Hamlets 027,2019,121.0,6232400.0,18049.410000000003,0.2222222222222222,1.0,90.0,1,0,0.4840536049054731,31349.24766809806,64764,City,0.4840536049054731,0,Less-affected comparison
E02000890,Tower Hamlets 027,2023,126.0,5905525.0,19856.390000000003,0.20588235294117646,1.0,102.0,1,0,0.4840536049054731,31349.24766809806,64764,City,0.4840536049054731,0,Less-affected comparison
E02000890,Tower Hamlets 027,2024,103.0,5430075.0,16630.100000000002,0.24705882352941178,1.0,85.0,1,0,0.4840536049054731,31349.24766809806,64764,City,0.4840536049054731,0,Less-affected comparison
E02000890,Tower Hamlets 027,2025,103.0,5430075.0,16630.100000000002,0.23255813953488372,1.0,86.0,1,0,0.4840536049054731,31349.24766809806,64764,City,0.4840536049054731,0,Less-affected comparison
E02000966,Westminster 007,2019,116.0,3913860.0,10887.300000000001,,,0.0,1,1,0.6262284477462899,8114.668225896425,12958,West End,0.6262284477462899,1,Top-100 affected
E02000966,Westminster 007,2023,122.0,3991650.0,11984.36,,,0.0,1,1,0.6262284477462899,8114.668225896425,12958,West End,0.6262284477462899,1,Top-100 affected
E02000966,Westminster 007,2024,107.0,4002750.0,10347.1,,,0.0,1,1,0.6262284477462899,8114.668225896425,12958,West End,0.6262284477462899,1,Top-100 affected
E02000966,Westminster 007,2025,108.0,4034750.0,10570.710000000003,,,0.0,1,1,0.6262284477462899,8114.668225896425,12958,West End,0.6262284477462899,1,Top-100 affected
E02000967,Westminster 008,2019,250.0,15901450.0,31676.93,,,0.0,1,0,0.5608220878297139,52249.55063474312,93166,West End,0.5608220878297139,0,Less-affected comparison
E02000967,Westminster 008,2023,262.0,14610850.0,33181.8,,,0.0,1,0,0.5608220878297139,52249.55063474312,93166,West End,0.5608220878297139,0,Less-affected comparison
E02000967,Westminster 008,2024,237.0,13404925.0,30954.07,,,0.0,1,0,0.5608220878297139,52249.55063474312,93166,West End,0.5608220878297139,0,Less-affected comparison
E02000967,Westminster 008,2025,239.0,13445425.0,31319.7,,,0.0,1,0,0.5608220878297139,52249.55063474312,93166,West End,0.5608220878297139,0,Less-affected comparison
E02000970,Westminster 011,2019,828.0,202173835.0,336635.47,,,0.0,2,2,0.8491269237040153,133934.57976191948,134023,West End,0.9993402607158434,1,Top-100 affected
E02000970,Westminster 011,2023,890.0,180676485.0,360766.61,,,0.0,2,2,0.8491269237040153,133934.57976191948,134023,West End,0.9993402607158434,1,Top-100 affected
E02000970,Westminster 011,2024,790.0,125966780.0,351013.33,,,0.0,2,2,0.8491269237040153,133934.57976191948,134023,West End,0.9993402607158434,1,Top-100 affected
E02000970,Westminster 011,2025,801.0,123414640.0,353287.16,,,0.0,2,2,0.8491269237040153,133934.57976191948,134023,West End,0.9993402607158434,1,Top-100 affected
E02000971,Westminster 012,2019,362.0,28381505.0,52158.009999999995,,,0.0,2,2,0.9060392871129284,72614.62122532193,79000,West End,0.9191724205736953,1,Top-100 affected
E02000971,Westminster 012,2023,393.0,28121675.0,61827.729999999996,,,0.0,2,2,0.9060392871129284,72614.62122532193,79000,West End,0.9191724205736953,1,Top-100 affected
E02000971,Westminster 012,2024,358.0,22792500.0,52607.399999999994,,,0.0,2,2,0.9060392871129284,72614.62122532193,79000,West End,0.9191724205736953,1,Top-100 affected
E02000971,Westminster 012,2025,365.0,22709750.0,56385.56,,,0.0,2,2,0.9060392871129284,72614.62122532193,79000,West End,0.9191724205736953,1,Top-100 affected
E02000972,Westminster 013,2019,2724.0,664394795.0,815887.3699999999,0.0,1.0,2.0,3,3,1.0696472429975648,464741.9847071542,406911,West End,1.1421219497805521,1,Top-100 affected
E02000972,Westminster 013,2023,3018.0,619172360.0,933286.73,0.0,1.0,2.0,3,3,1.0696472429975648,464741.9847071542,406911,West End,1.1421219497805521,1,Top-100 affected
E02000972,Westminster 013,2024,2588.0,501824895.0,751190.6799999999,0.0,1.0,2.0,3,3,1.0696472429975648,464741.9847071542,406911,West End,1.1421219497805521,1,Top-100 affected
E02000972,Westminster 013,2025,2665.0,500232195.0,797229.59,0.0,1.0,2.0,3,3,1.0696472429975648,464741.9847071542,406911,West End,1.1421219497805521,1,Top-100 affected
E02000973,Westminster 014,2019,166.0,7450800.0,19782.670000000002,,,0.0,1,0,0.35348060475700527,3077.402145014488,8706,West End,0.35348060475700527,0,Less-affected comparison
E02000973,Westminster 014,2023,176.0,7160700.0,21199.43,,,0.0,1,0,0.35348060475700527,3077.402145014488,8706,West End,0.35348060475700527,0,Less-affected comparison
E02000973,Westminster 014,2024,160.0,7129250.0,18262.72,,,0.0,1,0,0.35348060475700527,3077.402145014488,8706,West End,0.35348060475700527,0,Less-affected comparison
E02000973,Westminster 014,2025,161.0,7123250.0,18518.03,,,0.0,1,0,0.35348060475700527,3077.402145014488,8706,West End,0.35348060475700527,0,Less-affected comparison
E02000975,Westminster 016,2019,167.0,6585225.0,20241.340000000004,,,0.0,1,0,0.09698615652529263,1991.7077104034095,20536,West End,0.09698615652529263,0,Less-affected comparison
E02000975,Westminster 016,2023,180.0,6461375.0,20985.73,,,0.0,1,0,0.09698615652529263,1991.7077104034095,20536,West End,0.09698615652529263,0,Less-affected comparison
E02000975,Westminster 016,2024,167.0,6478950.0,19017.190000000002,,,0.0,1,0,0.09698615652529263,1991.7077104034095,20536,West End,0.09698615652529263,0,Less-affected comparison
E02000975,Westminster 016,2025,168.0,6470950.0,19107.39,,,0.0,1,0,0.09698615652529263,1991.7077104034095,20536,West End,0.09698615652529263,0,Less-affected comparison
E02000976,Westminster 017,2019,322.0,22375875.0,53693.72,,,0.0,2,0,0.30127936353329277,12850.423933220754,35955,West End,0.3574029740848492,0,Less-affected comparison
E02000976,Westminster 017,2023,340.0,21962025.0,58185.42,,,0.0,2,0,0.30127936353329277,12850.423933220754,35955,West End,0.3574029740848492,0,Less-affected comparison
